Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,1,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,2,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,3,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,4,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,5,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,6,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,7,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,8,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,9,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,10,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.61660216917957
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.92931114982467
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.71553951501174
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.871239033708
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,3.03364744114037
Scenario1,6,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.67735968375685
Scenario1,7,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.98975866258874
Scenario1,8,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.63484483134104
Scenario1,9,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.69543963910956
Scenario1,10,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,3.07502413735262
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,14
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,15
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,15
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,16
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,19
Scenario1,6,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,17
Scenario1,7,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,22
Scenario1,8,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,18
Scenario1,9,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,14
Scenario1,10,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,17
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,6,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,7,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,8,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,9,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,10,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
